Cost Matl Unit,Cost Total Unit
42.61139,83.68206
42.49792,105.5095
42.26773,83.44598
42.25026,77.63918
42.24235,89.78185
42.24235,83.42106
42.23519,83.4139
42.14275,89.09018
41.95023,75.8272
41.90863,75.8199
41.89257,82.96324
41.6176,72.53318
41.56334,80.42569
41.56334,76.49592
41.54947,75.46074
41.53819,89.38754
41.53819,89.07769
41.5308,80.39501
41.5308,76.5004
41.5308,76.46523
41.47738,77.45843
41.41384,75.29081
41.39032,82.6868
41.30436,84.91248
41.27315,89.11414
41.27315,86.43093
41.1798,71.51881
41.1593,71.49831
41.1593,70.46561
41.1593,69.73851
41.11127,84.22038
41.01308,74.92435
40.90568,92.51894
40.80274,58.15573
40.80274,57.73983
40.72968,92.34294
40.69918,60.31316
40.69918,59.86914
40.66358,60.27756
40.66358,59.83354
40.66358,59.20803
40.66358,58.79213
40.66358,58.01657
40.66358,57.60067
40.58632,81.8828
40.56703,82.35134
40.50036,84.10848
40.44044,90.40885
40.42201,90.39042
40.42201,89.42736
40.41154,81.14785
40.3017,71.21089
40.29595,59.90993
40.29595,59.46591
40.28248,83.06564
40.28232,82.06663
40,40
39.91695,80.0194
39.81235,87.39609
39.80519,81.02232
39.37824,59.8213
39.37824,59.63898
39.37824,59.35015
39.37824,59.25387
39.37824,58.06649
39.37824,57.63903
39.37824,57.17944
39.37824,56.75198
39.16856,57.69251
39.10819,87.00178
39.10675,86.22724
39.10675,86.09745
39.1008,74.0704
39.01484,75.03291
38.91001,100.66643
38.91001,85.70284
38.91001,85.64268
38.91001,85.46763
38.84248,81.62564
38.6672,98.26926
38.6672,82.52939
38.62095,78.7234
38.40335,73.99494
38.12532,86.71711
38.03877,58.76717
38.03315,85.95048
38.03315,83.25941
37.89,37.89
37.80818,71.51173
37.74351,93.08458
37.70792,85.62525
37.69621,71.32988
37.40273,85.3703
37.39226,77.25281
37.2632,79.32398
37.03935,92.69026
36.71519,99.72677
36.7,36.7
36.43141,74.15027
36.39766,70.88069
36.26119,99.27277
36,36
35.9719,96.79618
35.84484,70.43544
35.65207,70.24267
35.5539,96.37818
35.43617,95.49587
34.79882,45.35678
34.65966,46.3027
34.65966,45.21762
34.42072,85.682
34.36445,68.95505
34.19677,71.06318
34.1773,76.67694
33.7055,68.69685
33.7055,68.5562
33.61954,70.36455
33.56923,75.70691
33.50301,45.83077
33.47314,76.21738
33.45933,75.38359
33.45933,75.38315
33.10675,99.93237
33.06317,74.18174
33.05956,80.40706
32.8635,72.03869
32.67747,85.28146
32.57593,85.17992
32.38181,83.51165
32.34311,79.10861
32.3388,71.19412
32.11401,97.95468
31.72647,45.77275
31.72647,44.97143
31.72647,44.4658
31.72647,44.27189
31.56784,44.24833
31.44302,43.0334
31.44302,42.23196
31.23074,42.82112
30.9783,118.83429
29.92812,40.52194
29.92812,40.27859
29.83093,96.9997
29.78896,41.26706
29.78896,40.38278
29.78896,40.13943
29.75166,43.47739
29.74776,42.99272
29.72239,96.94201
29.67,29.67
29.54989,126.70008
29.34472,91.80391
29.3,29.3
29.19344,130.25024
29.03071,114.4369
28.88844,41.7112
28.88844,41.43312
28.88844,41.33684
28.88844,41.25982
28.88377,41.91004
28.7977,115.13072
28.76362,40.48187
28.76362,40.23104
28.76362,39.59481
28.76362,39.34398
28.70914,91.42503
28.37043,98.55467
28.36122,41.18398
28.34799,106.76482
28.28,28.28
28.22765,111.77019
28.22765,110.99736
28.19064,103.9536
28.17028,125.96681
28.17028,124.87034
27.90995,115.14108
27.90995,114.15555
27.89539,133.05954
27.87253,128.10747
27.86419,98.22108
